ID,OPEID,Institution Name,City,State,Foreign Gift Received Date,Foreign Gift Amount,Gift Type,Country of Giftor,Giftor Name
1,00102000,Jacksonville State University,Jacksonville,AL,43738,250000,Monetary Gift,CHINA,
2,00104700,Troy University,Troy,AL,43592,463657,Contract,CHINA,Confucius Institute Headquarters
3,00105100,University of Alabama,Tuscaloosa,AL,43466,3649107,Contract,ENGLAND,Springer Nature Customer Service Ce
4,00105100,University of Alabama,Tuscaloosa,AL,43472,1000,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
5,00105100,University of Alabama,Tuscaloosa,AL,43479,49476,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
6,00105100,University of Alabama,Tuscaloosa,AL,43501,30231,Contract,KUWAIT,Kuwait-Embassy of the State
7,00105100,University of Alabama,Tuscaloosa,AL,43507,30162,Contract,KUWAIT,Kuwait-Embassy of the State
8,00105100,University of Alabama,Tuscaloosa,AL,43517,200,Monetary Gift,GERMANY,"Mercedes-Benz U.S. International, I"
9,00105100,University of Alabama,Tuscaloosa,AL,43529,5136,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
10,00105100,University of Alabama,Tuscaloosa,AL,43531,57049,Contract,JAPAN,Kansai Gaidai University (KGU)
11,00105100,University of Alabama,Tuscaloosa,AL,43542,57778,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
12,00105100,University of Alabama,Tuscaloosa,AL,43543,5188,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
13,00105100,University of Alabama,Tuscaloosa,AL,43543,200,Monetary Gift,GERMANY,"Mercedes-Benz U.S. International, I"
14,00105100,University of Alabama,Tuscaloosa,AL,43543,517303,Contract,KOREA,Korea Polar Research Institute - KO
15,00105100,University of Alabama,Tuscaloosa,AL,43544,844219,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
16,00105100,University of Alabama,Tuscaloosa,AL,43559,4454795,Contract,KUWAIT,Kuwait-Embassy of the State
17,00105100,University of Alabama,Tuscaloosa,AL,43584,20156,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
18,00105100,University of Alabama,Tuscaloosa,AL,43586,400000,Contract,ENGLAND,Springer Nature
19,00105100,University of Alabama,Tuscaloosa,AL,43588,642,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
20,00105100,University of Alabama,Tuscaloosa,AL,43591,2568,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
21,00105100,University of Alabama,Tuscaloosa,AL,43592,312245,Contract,JAPAN,Kansai Gaidai University (KGU)
22,00105100,University of Alabama,Tuscaloosa,AL,43593,15114,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
